Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Kampala,PM2.5 - Principal,2017-01-01 01:00 AM,2017,1,1,1,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 02:00 AM,2017,1,1,2,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 03:00 AM,2017,1,1,3,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 04:00 AM,2017,1,1,4,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 05:00 AM,2017,1,1,5,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 06:00 AM,2017,1,1,6,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 07:00 AM,2017,1,1,7,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 08:00 AM,2017,1,1,8,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 09:00 AM,2017,1,1,9,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 10:00 AM,2017,1,1,10,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 11:00 AM,2017,1,1,11,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 12:00 PM,2017,1,1,12,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 01:00 PM,2017,1,1,13,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 02:00 PM,2017,1,1,14,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 03:00 PM,2017,1,1,15,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 04:00 PM,2017,1,1,16,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 05:00 PM,2017,1,1,17,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 06:00 PM,2017,1,1,18,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 07:00 PM,2017,1,1,19,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 08:00 PM,2017,1,1,20,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 09:00 PM,2017,1,1,21,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 10:00 PM,2017,1,1,22,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-01 11:00 PM,2017,1,1,23,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 12:00 AM,2017,1,2,0,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 01:00 AM,2017,1,2,1,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 02:00 AM,2017,1,2,2,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 03:00 AM,2017,1,2,3,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 04:00 AM,2017,1,2,4,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 05:00 AM,2017,1,2,5,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 06:00 AM,2017,1,2,6,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 07:00 AM,2017,1,2,7,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 08:00 AM,2017,1,2,8,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 09:00 AM,2017,1,2,9,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 10:00 AM,2017,1,2,10,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 11:00 AM,2017,1,2,11,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 12:00 PM,2017,1,2,12,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
Kampala,PM2.5 - Principal,2017-01-02 01:00 PM,2017,1,2,13,-999,-999,N/A,-999,UG/M3,1 Hr,Missing
