,loc_ref,chan_ref,display,chan_id,lcoords
43,loc_04,aq_04,"NYAKASHARU, RUBIRIZI",672528,"[-0.265089, 30.106887]"
0,loc_05,aq_05,"KISEKENDE, MUBENDE",675740,"[0.549748, 31.396739]"
53,loc_06,aq_06,"CENTRAL, TORORO",675801,"[0.69393, 34.18135]"
51,loc_07,aq_07,"NYAHUKA, BUNDIBUGYO",675805,"[0.6740557, 29.9940288]"
55,loc_08,aq_08,"NYENDO, MASAKA",675851,"[-0.321261, 31.761158]"
52,loc_09,aq_09,"KISANGA, KASESE",675991,"[0.178013, 30.083665]"
48,loc_10,aq_10,"RWENGOMA, KABAROLE",676000,"[0.657624, 30.26763]"
56,loc_11,aq_11,"NORTH EAST A, BUSIA",689508,"[0.465778, 34.09485]"
1,loc_13,aq_13,"MASABA, MBALE",689516,"[1.076072, 34.161669]"
49,loc_15,aq_15,"CHEKWANDA, KAPCHORWA",689520,"[1.331978, 34.372417]"
44,loc_16,aq_16,"BUGANA, NAMAYINGO",689522,"[0.201919, 33.81724]"
57,loc_17,aq_17,"BULOLI NORTH, BUDUDA",689525,"[1.011247, 34.3312]"
50,loc_18,aq_18,"BUKIKALI, MBALE",689530,"[1.083978, 34.233655]"
58,loc_20,aq_20,"CENTRAL WARD, SOROTI",689749,"[1.714471, 33.621236]"
45,loc_21,aq_21,"BUMURWA, NAMISINDWA",689750,"[0.926079, 34.36183]"
59,loc_22,aq_22,"NKUSI, BUGIRI",689752,"[0.567539, 33.75172]"
54,loc_23,aq_23,"MAGWA WARD, JINJA",689753,"[0.432968, 33.21001]"
46,loc_24,aq_24,"NKAATU, IGANGA",689756,"[0.611445, 33.47001]"
47,loc_25,aq_25,"MARKET WARD, IGANGA",689759,"[0.776971, 33.62392]"
60,loc_26,aq_26,"CIVIC CENTRE, KAMPALA",689761,"[0.314, 32.59]"
2,loc_27,aq_27,"GASIZA, KISORO",689766,"[-1.283185, 29.701434]"
27,loc_29,aq_29,"BUGOLOBI, KAMPALA",718028,"[0.3075, 32.6206]"
28,loc_30,aq_30,"KIWAFU, WAKISO",718029,"[0.059604, 32.46032]"
29,loc_31,aq_31,"KIREKA, WAKISO",718030,"[0.347014, 32.64936]"
30,loc_32,aq_32,"SEGUKU, WAKISO",730014,"[0.235668, 32.55764]"
3,loc_33,aq_33,"BUWENGE NORTH WARD, JINJA",730015,"[0.65025, 33.17083]"
31,loc_34,aq_34,"WOBULENZI WEST, LUWERO",730016,"[0.718394, 32.52806]"
32,loc_35,aq_35,"GGULU WARD, MUKONO",730019,"[0.360752, 32.75257]"
33,loc_36,aq_36,"BWEYOGERERE, WAKISO",737273,"[0.354825, 32.67781]"
34,loc_39,aq_39,"LUBAGA, KAMPALA",737276,"[0.295314, 32.553682]"
4,loc_40,aq_40,"CENTRAL WARD, MITYANA",737278,"[0.400714, 32.0422]"
5,loc_41,aq_41,"LOWER BUGONGI, KABALE",755609,"[-1.244985, 29.989236]"
35,loc_43,aq_43,"MAKINDYE I, KAMPALA",755612,"[0.289, 32.589]"
36,loc_44,aq_44,"NAGURU II, KAMPALA",755614,"[0.3412, 32.602]"
37,loc_45,aq_45,"KASUBI, KAMPALA",782718,"[0.344, 32.553]"
38,loc_46,aq_46,"BUKASA, KAMPALA",782719,"[0.29875, 32.615]"
39,loc_47,aq_47,"BUKUTO I, KAMPALA",782720,"[0.3517, 32.591]"
40,loc_48,aq_48,"SEGUKU, WAKISO",782721,"[0.2336, 32.5635]"
41,loc_49,aq_49,"LUKULI, KAMPALA",782722,"[0.2836, 32.6]"
42,loc_51,aq_51,"LUKULI, KAMPALA",832251,"[0.299, 32.592]"
6,loc_52,aq_52,"BUSABALA, WAKISO",832252,"[0.2182, 32.6176]"
7,loc_53,aq_53,"BUNMWAYA, WAKISO",832253,"[0.269993, 32.558017]"
8,loc_54,aq_54,"KYEBANDO, KAMPALA",832254,"[0.3564, 32.573]"
9,loc_55,aq_55,"KYANJA, KAMPALA",832255,"[0.3875, 32.601]"
10,loc_56,aq_56,"BUSEGA, KAMPALA",870139,"[0.3101, 32.516]"
11,loc_57,aq_57,"KYEBANDO, WAKISO",870140,"[0.3547, 32.5026]"
12,loc_58,aq_58,"NANSANA EAST WARD, WAKISO",870142,"[0.3759, 32.528]"
13,loc_59,aq_59,"KYALIWAJJALA, WAKISO",870143,"[0.381576, 32.647109]"
14,loc_60,aq_60,"BUTABIKA, KAMPALA",870144,"[0.30778, 32.651449]"
15,loc_61,aq_61,"KIWATULE, KAMPALA",870145,"[0.373078, 32.628226]"
16,loc_62,aq_62,"MAKERERE UNIVERSITY, KAMPALA",870146,"[0.3323, 32.5698]"
17,loc_63,aq_63,"NANSANA WEST WARD, WAKISO",870147,"[0.363, 32.529]"
18,loc_64,aq_64,"KIRA, WAKISO",912219,"[0.391478, 32.62583]"
19,loc_65,aq_65,"NAKASERO II, KAMPALA",912220,"[0.322108, 32.576]"
20,loc_66,aq_66,"NAKASERO II, KAMPALA",912221,"[0.32232, 32.5757]"
21,loc_67,aq_67,"MBUYA II, KAMPALA",912222,"[0.325346, 32.632288]"
22,loc_68,aq_68,"NAKAWA, KAMPALA",912223,"[0.341674, 32.635306]"
23,loc_69,aq_69,"NANTABULIRWA WARD, MUKONO",912224,"[0.34646, 32.70328]"
24,loc_70,aq_70,KASENGE WAKISO,912225,"[0.286595, 32.506107]"
25,loc_71,aq_71,"KIREKA, WAKISO",930426,"[0.3655, 32.6468]"
26,loc_72,aq_72,"LUWAFU, KAMPALA",930427,"[0.2689, 32.588]"
